Date,Time,Close
4/6/21,2:45:00 PM,4228.25
4/6/21,3:00:00 PM,4226
4/6/21,3:30:00 PM,4226.5
4/6/21,3:45:00 PM,4227.75
7/6/21,9:30:00 AM,4218
7/6/21,9:45:00 AM,4220
7/6/21,10:00:00 AM,4220.75
7/6/21,10:15:00 AM,4217
7/6/21,10:30:00 AM,4216.25
7/6/21,10:45:00 AM,4217.75
7/6/21,11:00:00 AM,4220.5
7/6/21,11:15:00 AM,4218
7/6/21,11:30:00 AM,4219.5
7/6/21,11:45:00 AM,4219.5
7/6/21,12:00:00 PM,4218
7/6/21,12:15:00 PM,4217.75
7/6/21,12:30:00 PM,4216.75
7/6/21,12:45:00 PM,4215
7/6/21,1:00:00 PM,4217.75
7/6/21,1:15:00 PM,4217.75
7/6/21,1:30:00 PM,4219
7/6/21,1:45:00 PM,4220.75
7/6/21,2:00:00 PM,4223.25
7/6/21,2:15:00 PM,4224.75
7/6/21,2:30:00 PM,4221
7/6/21,2:45:00 PM,4225.25
7/6/21,3:00:00 PM,4226
7/6/21,3:30:00 PM,4226
7/6/21,3:45:00 PM,4227.25
8/6/21,9:30:00 AM,4223.5
8/6/21,9:45:00 AM,4221.75
8/6/21,10:00:00 AM,4216.75
8/6/21,10:15:00 AM,4212
8/6/21,10:30:00 AM,4221.5
8/6/21,10:45:00 AM,4222.75
8/6/21,11:00:00 AM,4227
8/6/21,11:15:00 AM,4227.25
8/6/21,11:30:00 AM,4228
8/6/21,11:45:00 AM,4228.5
8/6/21,12:00:00 PM,4226.75
8/6/21,12:15:00 PM,4224.75
8/6/21,12:30:00 PM,4228.75
8/6/21,12:45:00 PM,4225
8/6/21,1:00:00 PM,4226.25
8/6/21,1:15:00 PM,4228.5
8/6/21,1:30:00 PM,4227.25
8/6/21,1:45:00 PM,4230.25
8/6/21,2:00:00 PM,4231
8/6/21,2:15:00 PM,4229.75
8/6/21,2:30:00 PM,4228.5
8/6/21,2:45:00 PM,4225.5
8/6/21,3:00:00 PM,4225.75
8/6/21,3:30:00 PM,4224
8/6/21,3:45:00 PM,4225.25
9/6/21,9:30:00 AM,4232
9/6/21,9:45:00 AM,4231.25
9/6/21,10:00:00 AM,4231.75
